Attrition,Business Travel,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Work Life Balance,Age,Attrition %,Daily Rate,Distance From Home,dummy,Education,Employee Count,Environment Satisfaction,female#,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,male#,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,Research & Development,Life Sciences,373,Male,Laboratory Technician,Married,No,Y,4,Good,36,0.00%,1403,6,0,3,1,4,0,47,3,1,4,1,3210,20251,0,11,3,3,80,1,16,15,13,10,11
No,Travel_Rarely,Research & Development,Medical,374,Male,Manager,Single,Yes,Y,2,Good,55,0.00%,452,1,0,3,1,4,0,81,3,5,1,1,19045,18938,0,14,3,3,80,0,37,36,10,4,13
Yes,Non-Travel,Research & Development,Life Sciences,376,Male,Manager,Married,Yes,Y,2,Avg,47,100.00%,666,29,0,4,1,1,0,88,3,3,2,1,11849,10268,1,12,3,4,80,1,10,10,7,9,9
No,Travel_Rarely,Research & Development,Medical,377,Male,Research Scientist,Married,No,Y,3,Avg,28,0.00%,1158,9,0,3,1,4,0,94,3,1,4,1,2070,2613,1,23,4,4,80,1,5,5,2,0,4
No,Travel_Rarely,Sales,Medical,378,Male,Sales Executive,Married,No,Y,5,Best,37,0.00%,228,6,0,4,1,3,0,98,3,2,4,1,6502,22825,4,14,3,2,80,1,7,5,4,0,1
No,Travel_Rarely,Research & Development,Medical,379,Male,Research Scientist,Single,No,Y,4,Best,21,0.00%,996,3,0,2,1,4,0,100,2,1,3,1,3230,10531,1,17,3,1,80,0,3,3,2,1,0
No,Non-Travel,Research & Development,Medical,380,Female,Research Director,Divorced,Yes,Y,2,Good,37,0.00%,728,1,0,4,1,1,1,80,3,3,4,0,13603,11677,2,18,3,1,80,2,15,5,2,0,2
No,Travel_Rarely,Research & Development,Life Sciences,381,Female,Manager,Divorced,No,Y,6,Avg,35,0.00%,1315,22,0,3,1,2,1,71,4,3,2,0,11996,19100,7,18,3,2,80,1,10,7,7,6,2
No,Travel_Rarely,Sales,Medical,382,Female,Sales Executive,Divorced,Yes,Y,3,Good,38,0.00%,322,7,0,2,1,1,1,44,4,2,1,0,5605,19191,1,24,4,3,80,1,8,8,0,7,7
No,Travel_Frequently,Research & Development,Life Sciences,384,Female,Manufacturing Director,Divorced,No,Y,6,Bad,26,0.00%,1479,1,0,3,1,3,1,84,3,2,2,0,6397,26767,1,20,4,1,80,1,6,6,5,1,4
No,Travel_Rarely,Research & Development,Life Sciences,385,Male,Research Director,Divorced,No,Y,4,Avg,50,0.00%,797,4,0,1,1,1,0,96,3,5,2,1,19144,15815,3,14,3,1,80,2,28,10,4,1,6
No,Travel_Rarely,Research & Development,Medical,386,Male,Research Director,Married,Yes,Y,5,Avg,53,0.00%,1070,3,0,4,1,3,0,45,3,4,3,1,17584,21016,3,16,3,4,80,3,21,5,3,1,3
No,Travel_Rarely,Sales,Life Sciences,387,Male,Sales Executive,Married,No,Y,3,Good,42,0.00%,635,1,0,1,1,2,0,99,3,2,3,1,4907,24532,1,25,4,3,80,0,20,20,16,11,6
No,Travel_Frequently,Sales,Life Sciences,388,Male,Sales Executive,Single,No,Y,3,Avg,29,0.00%,442,2,0,2,1,2,0,44,3,2,4,1,4554,20260,1,18,3,1,80,0,10,10,7,0,9
No,Travel_Rarely,Research & Development,Technical Degree,389,Male,Laboratory Technician,Married,Yes,Y,4,Good,55,0.00%,147,20,0,2,1,2,0,37,3,2,4,1,5415,15972,3,19,3,4,80,1,12,10,7,0,8
No,Travel_Frequently,Research & Development,Medical,390,Male,Healthcare Representative,Married,Yes,Y,3,Good,26,0.00%,496,11,0,2,1,1,0,60,3,2,1,1,4741,22722,1,13,3,3,80,1,5,5,3,3,3
No,Travel_Rarely,Research & Development,Life Sciences,391,Female,Research Scientist,Single,No,Y,3,Good,37,0.00%,1372,1,0,3,1,4,1,42,3,1,4,0,2115,15881,1,12,3,2,80,0,17,17,12,5,7
Yes,Travel_Frequently,Research & Development,Life Sciences,392,Male,Laboratory Technician,Divorced,Yes,Y,0,Bad,44,100.00%,920,24,0,3,1,4,0,43,3,1,3,1,3161,19920,3,22,4,4,80,1,19,1,0,0,0
No,Travel_Rarely,Research & Development,Life Sciences,393,Male,Healthcare Representative,Divorced,No,Y,2,Good,38,0.00%,688,23,0,4,1,4,0,82,3,2,4,1,5745,18899,9,14,3,2,80,1,10,2,2,1,2
Yes,Travel_Rarely,Research & Development,Medical,394,Male,Laboratory Technician,Divorced,Yes,Y,2,Good,26,100.00%,1449,16,0,4,1,1,0,45,3,1,2,1,2373,14180,2,13,3,4,80,1,5,3,2,0,2
No,Travel_Rarely,Research & Development,Life Sciences,395,Female,Research Scientist,Single,No,Y,3,Good,28,0.00%,1117,8,0,2,1,4,1,66,3,1,4,0,3310,4488,1,21,4,4,80,0,5,5,3,0,2
No,Travel_Frequently,Research & Development,Life Sciences,396,Female,Research Director,Single,Yes,Y,4,Good,49,0.00%,636,10,0,4,1,3,1,35,3,5,1,0,18665,25594,9,11,3,4,80,0,22,3,2,1,2
No,Travel_Rarely,Research & Development,Technical Degree,397,Male,Research Scientist,Single,No,Y,2,Good,36,0.00%,506,3,0,3,1,3,0,30,3,2,2,1,4485,26285,4,12,3,4,80,0,10,8,0,7,7
No,Travel_Frequently,Sales,Marketing,399,Female,Sales Representative,Divorced,No,Y,5,Avg,31,0.00%,444,5,0,3,1,4,1,84,3,1,2,0,2789,3909,1,11,3,3,80,1,2,2,2,2,2
Yes,Travel_Rarely,Sales,Marketing,401,Male,Sales Executive,Single,Yes,Y,0,Good,26,100.00%,950,4,0,4,1,4,0,48,2,2,4,1,5828,8450,1,12,3,2,80,0,8,8,7,7,4
No,Travel_Frequently,Research & Development,Medical,403,Male,Research Scientist,Married,Yes,Y,3,Avg,37,0.00%,889,9,0,3,1,2,0,53,3,1,4,1,2326,11411,1,12,3,3,80,3,4,4,2,1,2
No,Travel_Frequently,Sales,Marketing,404,Female,Sales Executive,Married,No,Y,2,Best,42,0.00%,555,26,0,3,1,3,1,77,3,4,2,0,13525,14864,5,14,3,4,80,1,23,20,4,4,8
Yes,Travel_Rarely,Research & Development,Life Sciences,405,Male,Laboratory Technician,Single,No,Y,2,Good,18,100.00%,230,3,0,3,1,3,0,54,3,1,3,1,1420,25233,1,13,3,3,80,0,0,0,0,0,0
No,Travel_Rarely,Sales,Marketing,406,Male,Sales Executive,Married,No,Y,3,Avg,35,0.00%,1232,16,0,3,1,3,0,96,3,3,2,1,8020,5100,0,15,3,3,80,2,12,11,9,6,9
No,Travel_Frequently,Research & Development,Life Sciences,407,Male,Laboratory Technician,Married,No,Y,2,Good,36,0.00%,566,18,0,4,1,3,0,81,4,1,4,1,3688,7122,4,18,3,4,80,2,4,1,0,0,0
No,Travel_Rarely,Research & Development,Medical,408,Male,Manufacturing Director,Divorced,No,Y,3,Good,51,0.00%,1302,2,0,3,1,4,0,84,1,2,2,1,5482,16321,5,18,3,4,80,1,13,4,1,1,2
No,Travel_Rarely,Sales,Life Sciences,410,Male,Manager,Single,No,Y,2,Good,41,0.00%,334,2,0,4,1,4,0,88,3,4,2,1,16015,15896,1,19,3,2,80,0,22,22,10,0,4
No,Travel_Rarely,Sales,Medical,411,Female,Sales Representative,Single,No,Y,2,Good,18,0.00%,812,10,0,3,1,4,1,69,2,1,3,0,1200,9724,1,12,3,1,80,0,0,0,0,0,0
No,Travel_Rarely,Research & Development,Medical,412,Male,Healthcare Representative,Single,No,Y,2,Good,28,0.00%,1476,16,0,2,1,2,0,68,4,2,1,1,5661,4824,0,19,3,3,80,0,9,8,3,0,7
No,Travel_Rarely,Sales,Technical Degree,416,Male,Sales Executive,Married,No,Y,3,Avg,31,0.00%,218,7,0,3,1,2,0,100,4,2,4,1,6929,12241,4,11,3,2,80,1,10,8,7,7,7
No,Travel_Rarely,Research & Development,Medical,417,Male,Healthcare Representative,Divorced,No,Y,5,Avg,39,0.00%,1132,1,0,3,1,3,0,48,4,3,4,1,9613,10942,0,17,3,1,80,3,19,18,10,3,7
No,Non-Travel,Research & Development,Life Sciences,419,Female,Laboratory Technician,Married,No,Y,3,Good,36,0.00%,1105,24,0,4,1,2,1,47,3,2,2,0,5674,6927,7,15,3,3,80,1,11,9,8,0,8
No,Travel_Rarely,Sales,Life Sciences,420,Male,Sales Executive,Married,No,Y,3,Avg,32,0.00%,906,7,0,3,1,4,0,91,2,2,3,1,5484,16985,1,14,3,3,80,1,13,13,8,4,8
No,Travel_Rarely,Research & Development,Life Sciences,421,Female,Research Director,Married,No,Y,2,Good,38,0.00%,849,25,0,2,1,1,1,81,2,3,2,0,12061,26707,3,17,3,3,80,1,19,10,8,0,1
No,Non-Travel,Research & Development,Life Sciences,422,Male,Healthcare Representative,Divorced,Yes,Y,2,Good,58,0.00%,390,1,0,4,1,4,0,32,1,2,3,1,5660,17056,2,13,3,4,80,1,12,5,3,1,2
No,Travel_Rarely,Research & Development,Technical Degree,423,Male,Research Scientist,Married,Yes,Y,4,Good,31,0.00%,691,5,0,4,1,3,0,86,3,1,4,1,4821,10077,0,12,3,3,80,1,6,5,2,0,3
No,Travel_Rarely,Human Resources,Human Resources,424,Male,Human Resources,Married,No,Y,1,Good,31,0.00%,106,2,0,3,1,1,0,62,2,2,1,1,6410,17822,3,12,3,4,80,0,9,2,2,1,0
No,Travel_Frequently,Research & Development,Life Sciences,425,Male,Laboratory Technician,Divorced,No,Y,2,Good,45,0.00%,1249,7,0,3,1,1,0,97,3,3,1,1,5210,20308,1,18,3,1,80,1,24,24,9,9,11
No,Travel_Rarely,Research & Development,Life Sciences,426,Male,Research Scientist,Divorced,Yes,Y,2,Bad,31,0.00%,192,2,0,4,1,3,0,32,3,1,4,1,2695,7747,0,18,3,2,80,1,3,2,2,2,2
No,Travel_Frequently,Research & Development,Life Sciences,428,Female,Manager,Married,No,Y,2,Good,33,0.00%,553,5,0,4,1,4,1,74,3,3,2,0,11878,23364,6,11,3,2,80,2,12,10,6,8,8
No,Travel_Rarely,Research & Development,Medical,429,Male,Manager,Married,Yes,Y,3,Good,39,0.00%,117,10,0,1,1,3,0,99,3,4,1,1,17068,5355,1,14,3,4,80,0,21,21,9,11,10
No,Travel_Frequently,Research & Development,Life Sciences,430,Female,Laboratory Technician,Single,No,Y,5,Good,43,0.00%,185,10,0,4,1,3,1,33,3,1,4,0,2455,10675,0,19,3,1,80,0,9,8,7,1,7
No,Travel_Rarely,Research & Development,Technical Degree,431,Female,Healthcare Representative,Single,Yes,Y,2,Good,49,0.00%,1091,1,0,2,1,3,1,90,2,4,3,0,13964,17810,7,12,3,4,80,0,25,7,1,0,7
Yes,Travel_Rarely,Research & Development,Medical,433,Male,Research Scientist,Married,No,Y,3,Avg,52,100.00%,723,8,0,4,1,3,0,85,2,2,2,1,4941,17747,2,15,3,1,80,0,11,8,2,7,7
No,Travel_Rarely,Research & Development,Life Sciences,434,Female,Research Scientist,Single,Yes,Y,2,Avg,27,0.00%,1220,5,0,3,1,3,1,85,3,1,2,0,2478,20938,1,12,3,2,80,0,4,4,3,1,2
No,Travel_Rarely,Sales,Technical Degree,436,Female,Sales Executive,Married,Yes,Y,2,Good,32,0.00%,588,8,0,2,1,3,1,65,2,2,2,0,5228,24624,1,11,3,4,80,0,13,13,12,11,9
No,Travel_Rarely,Sales,Life Sciences,437,Male,Sales Executive,Single,Yes,Y,3,Good,27,0.00%,1377,2,0,3,1,4,0,74,3,2,3,1,4478,5242,1,11,3,1,80,0,5,5,4,0,4
No,Travel_Rarely,Sales,Marketing,438,Male,Sales Executive,Divorced,No,Y,3,Good,31,0.00%,691,7,0,3,1,4,0,73,3,2,4,1,7547,7143,4,12,3,4,80,3,13,7,7,1,7
No,Travel_Rarely,Research & Development,Medical,439,Female,Research Scientist,Single,No,Y,0,Avg,32,0.00%,1018,2,0,4,1,1,1,74,4,2,4,0,5055,10557,7,16,3,3,80,0,10,7,7,0,7
Yes,Travel_Rarely,Research & Development,Medical,440,Male,Research Scientist,Married,Yes,Y,4,Avg,28,100.00%,1157,2,0,4,1,1,0,84,1,1,4,1,3464,24737,5,13,3,4,80,0,5,3,2,2,2
No,Travel_Rarely,Research & Development,Medical,441,Female,Research Scientist,Married,No,Y,2,Good,30,0.00%,1275,28,0,2,1,4,1,64,3,2,4,0,5775,11934,1,13,3,4,80,2,11,10,8,1,9
No,Travel_Frequently,Research & Development,Life Sciences,442,Female,Manufacturing Director,Married,No,Y,2,Good,31,0.00%,798,7,0,2,1,3,1,48,2,3,3,0,8943,14034,1,24,4,1,80,1,10,10,9,8,9
No,Travel_Frequently,Research & Development,Medical,444,Male,Manager,Married,No,Y,2,Good,39,0.00%,672,7,0,2,1,3,0,54,2,5,4,1,19272,21141,1,15,3,1,80,1,21,21,9,13,3
Yes,Travel_Rarely,Sales,Medical,445,Female,Sales Executive,Married,Yes,Y,3,Avg,39,100.00%,1162,3,0,2,1,4,1,41,3,2,3,0,5238,17778,4,18,3,1,80,0,12,1,0,0,0
No,Travel_Frequently,Sales,Marketing,446,Male,Sales Executive,Single,No,Y,6,Avg,33,0.00%,508,10,0,3,1,2,0,46,2,2,4,1,4682,4317,3,14,3,3,80,0,9,7,7,0,1
No,Travel_Rarely,Research & Development,Life Sciences,447,Male,Research Director,Married,No,Y,2,Good,47,0.00%,1482,5,0,5,1,4,0,42,3,5,3,1,18300,16375,4,11,3,2,80,1,21,3,2,1,1
No,Travel_Frequently,Research & Development,Life Sciences,448,Female,Laboratory Technician,Divorced,No,Y,3,Best,43,0.00%,559,10,0,4,1,3,1,82,2,2,3,0,5257,6227,1,11,3,2,80,1,9,9,7,0,0
No,Non-Travel,Sales,Marketing,449,Male,Sales Executive,Married,Yes,Y,0,Good,27,0.00%,210,1,0,1,1,3,0,73,3,2,2,1,6349,22107,0,13,3,4,80,1,6,5,4,1,4
No,Travel_Frequently,Research & Development,Life Sciences,450,Female,Research Scientist,Single,No,Y,4,Avg,54,0.00%,928,20,0,4,1,4,1,31,3,2,3,0,4869,16885,3,12,3,4,80,0,20,4,3,0,3
No,Travel_Rarely,Research & Development,Life Sciences,451,Female,Healthcare Representative,Married,No,Y,1,Avg,43,0.00%,1001,7,0,3,1,3,1,43,3,3,1,0,9985,9262,8,16,3,1,80,1,10,1,0,0,0
No,Travel_Rarely,Research & Development,Other,452,Male,Research Scientist,Married,No,Y,3,Good,45,0.00%,549,8,0,4,1,4,0,75,3,2,4,1,3697,9278,9,14,3,1,80,2,12,10,9,9,8
No,Travel_Rarely,Sales,Medical,453,Male,Sales Executive,Married,Yes,Y,2,Avg,40,0.00%,1124,1,0,2,1,2,0,57,1,2,4,1,7457,13273,2,22,4,3,80,3,6,4,3,0,2
Yes,Travel_Rarely,Research & Development,Other,454,Male,Laboratory Technician,Married,Yes,Y,4,Avg,29,100.00%,318,8,0,4,1,2,0,77,1,1,1,1,2119,4759,1,11,3,4,80,0,7,7,7,0,7
No,Travel_Rarely,Research & Development,Other,455,Male,Laboratory Technician,Single,No,Y,2,Good,29,0.00%,738,9,0,5,1,2,0,30,2,1,4,1,3983,7621,0,17,3,3,80,0,4,3,2,2,2
No,Travel_Rarely,Sales,Marketing,456,Female,Sales Executive,Divorced,No,Y,2,Good,30,0.00%,570,5,0,3,1,4,1,30,2,2,3,0,6118,5431,1,13,3,3,80,3,10,10,9,1,2
No,Travel_Rarely,Sales,Marketing,458,Female,Sales Executive,Married,No,Y,3,Good,27,0.00%,1130,8,0,4,1,2,1,56,3,2,2,0,6214,3415,1,18,3,1,80,1,8,8,7,0,7
No,Travel_Rarely,Research & Development,Medical,460,Male,Manufacturing Director,Divorced,No,Y,2,Avg,37,0.00%,1192,5,0,2,1,4,0,61,3,2,4,1,6347,23177,7,16,3,3,80,2,8,6,2,0,4
No,Travel_Rarely,Research & Development,Life Sciences,461,Male,Research Director,Divorced,Yes,Y,3,Good,38,0.00%,343,15,0,2,1,3,0,92,2,3,4,1,11510,15682,0,14,3,2,80,1,12,11,10,2,9
No,Travel_Rarely,Research & Development,Medical,462,Female,Manufacturing Director,Single,Yes,Y,2,Avg,31,0.00%,1232,7,0,4,1,3,1,39,3,3,4,0,7143,25713,1,14,3,3,80,0,11,11,9,4,10
No,Travel_Rarely,Sales,Marketing,463,Female,Sales Executive,Divorced,Yes,Y,2,Good,29,0.00%,144,10,0,1,1,4,1,39,2,2,2,0,8268,11866,1,14,3,1,80,2,7,7,7,1,7
No,Travel_Rarely,Research & Development,Technical Degree,464,Male,Manufacturing Director,Single,No,Y,5,Good,35,0.00%,1296,5,0,4,1,3,0,62,3,3,2,1,8095,18264,0,13,3,4,80,0,17,16,6,0,13
No,Travel_Rarely,Research & Development,Life Sciences,465,Male,Research Scientist,Divorced,No,Y,2,Avg,23,0.00%,1309,26,0,1,1,3,0,83,3,1,4,1,2904,16092,1,12,3,3,80,2,4,4,2,0,2
No,Travel_Rarely,Research & Development,Medical,466,Male,Manufacturing Director,Single,Yes,Y,3,Good,41,0.00%,483,6,0,3,1,4,0,95,2,2,2,1,6032,10110,6,15,3,4,80,0,8,5,4,1,2
No,Travel_Frequently,Sales,Medical,467,Male,Sales Representative,Single,No,Y,3,Good,47,0.00%,1309,4,0,1,1,2,0,99,3,2,3,1,2976,25751,3,19,3,1,80,0,5,0,0,0,0
No,Travel_Rarely,Research & Development,Life Sciences,468,Female,Research Director,Single,No,Y,2,Good,42,0.00%,810,23,0,5,1,1,1,44,3,4,4,0,15992,15901,2,14,3,2,80,0,16,1,0,0,0
No,Non-Travel,Sales,Life Sciences,469,Male,Sales Executive,Married,No,Y,3,Avg,29,0.00%,746,2,0,3,1,4,0,61,3,2,3,1,4649,16928,1,14,3,1,80,1,4,4,3,0,2
No,Travel_Rarely,Human Resources,Technical Degree,470,Male,Human Resources,Divorced,Yes,Y,5,Good,42,0.00%,544,2,0,1,1,3,0,52,3,1,3,1,2696,24017,0,11,3,3,80,1,4,3,2,1,0
No,Travel_Rarely,Research & Development,Medical,471,Female,Laboratory Technician,Married,No,Y,4,Good,32,0.00%,1062,2,0,3,1,3,1,75,3,1,2,0,2370,3956,1,13,3,3,80,1,8,8,0,0,7
No,Travel_Rarely,Sales,Medical,473,Female,Manager,Married,No,Y,3,Bad,48,0.00%,530,29,0,1,1,1,1,91,3,3,3,0,12504,23978,3,21,4,2,80,1,15,0,0,0,0
No,Travel_Rarely,Research & Development,Medical,474,Male,Research Scientist,Divorced,Yes,Y,2,Good,37,0.00%,1319,6,0,3,1,3,0,51,4,2,1,1,5974,17001,4,13,3,1,80,2,13,7,7,6,7
No,Non-Travel,Sales,Technical Degree,475,Female,Sales Executive,Married,Yes,Y,2,Best,30,0.00%,641,25,0,2,1,4,1,85,3,2,3,0,4736,6069,7,12,3,2,80,1,4,2,2,2,2
No,Travel_Rarely,Sales,Life Sciences,476,Male,Sales Executive,Married,No,Y,3,Good,26,0.00%,933,1,0,3,1,3,0,57,3,2,3,1,5296,20156,1,17,3,2,80,1,8,8,7,7,7
No,Travel_Rarely,Research & Development,Other,477,Male,Healthcare Representative,Single,No,Y,6,Good,42,0.00%,1332,2,0,4,1,1,0,98,2,2,4,1,6781,17078,3,23,4,2,80,0,14,1,0,0,0
Yes,Travel_Frequently,Sales,Technical Degree,478,Female,Sales Representative,Single,Yes,Y,3,Good,21,100.00%,756,1,0,1,1,1,1,99,2,1,2,0,2174,9150,1,11,3,3,80,0,3,3,2,1,2
No,Non-Travel,Sales,Medical,479,Female,Sales Executive,Single,No,Y,6,Good,36,0.00%,845,1,0,5,1,4,1,45,3,2,4,0,6653,15276,4,15,3,2,80,0,7,1,0,0,0
No,Travel_Frequently,Sales,Medical,481,Male,Sales Executive,Married,No,Y,2,Good,36,0.00%,541,3,0,4,1,1,0,48,2,3,4,1,9699,7246,4,11,3,1,80,1,16,13,9,1,12
No,Travel_Rarely,Research & Development,Medical,482,Male,Healthcare Representative,Married,No,Y,2,Good,57,0.00%,593,1,0,4,1,4,0,88,3,2,3,1,6755,2967,2,11,3,3,80,0,15,3,2,1,2
No,Travel_Rarely,Research & Development,Life Sciences,483,Female,Laboratory Technician,Married,Yes,Y,3,Good,40,0.00%,1171,10,0,4,1,4,1,46,4,1,3,0,2213,22495,3,13,3,3,80,1,10,7,7,1,7
No,Non-Travel,Sales,Medical,484,Male,Sales Representative,Single,No,Y,3,Avg,21,0.00%,895,9,0,2,1,1,0,39,3,1,4,1,2610,2851,1,24,4,3,80,0,3,3,2,2,2
Yes,Travel_Rarely,Sales,Marketing,485,Female,Sales Representative,Single,Yes,Y,2,Good,33,100.00%,350,5,0,3,1,4,1,34,3,1,3,0,2851,9150,1,13,3,2,80,0,1,1,0,0,0
No,Travel_Rarely,Research & Development,Medical,486,Female,Laboratory Technician,Married,No,Y,3,Good,37,0.00%,921,10,0,3,1,3,1,98,3,1,1,0,3452,17663,6,20,4,2,80,1,17,5,4,0,3
No,Non-Travel,Research & Development,Medical,487,Female,Manufacturing Director,Married,No,Y,2,Best,46,0.00%,1144,7,0,4,1,3,1,30,3,2,3,0,5258,16044,2,14,3,3,80,0,7,1,0,0,0
Yes,Travel_Frequently,Sales,Marketing,488,Male,Sales Executive,Single,No,Y,5,Good,41,100.00%,143,4,0,3,1,1,0,56,3,2,2,1,9355,9558,1,18,3,3,80,0,8,8,7,7,7
No,Travel_Rarely,Research & Development,Technical Degree,491,Male,Healthcare Representative,Single,No,Y,2,Good,50,0.00%,1046,10,0,3,1,4,0,100,2,3,4,1,10496,2755,6,15,3,4,80,0,20,4,3,1,3
Yes,Travel_Rarely,Sales,Marketing,492,Male,Sales Executive,Married,Yes,Y,6,Good,40,100.00%,575,22,0,2,1,3,0,68,2,2,3,1,6380,6110,2,12,3,1,80,2,8,6,4,1,0
No,Travel_Rarely,Research & Development,Life Sciences,493,Male,Research Scientist,Single,Yes,Y,5,Good,31,0.00%,408,9,0,4,1,3,0,42,2,1,2,1,2657,7551,0,16,3,4,80,0,3,2,2,2,2
Yes,Travel_Rarely,Sales,Life Sciences,494,Female,Sales Representative,Single,No,Y,0,Good,21,100.00%,156,12,0,3,1,3,1,90,4,1,2,0,2716,25422,1,15,3,4,80,0,1,1,0,0,0
No,Travel_Rarely,Research & Development,Life Sciences,495,Male,Research Scientist,Single,No,Y,4,Good,29,0.00%,1283,23,0,3,1,4,0,54,3,1,4,1,2201,18168,9,16,3,4,80,0,6,3,2,1,2
No,Travel_Rarely,Research & Development,Life Sciences,496,Male,Healthcare Representative,Single,No,Y,5,Good,35,0.00%,755,9,0,4,1,3,0,97,2,2,2,1,6540,19394,9,19,3,3,80,0,10,1,1,0,0
No,Travel_Rarely,Research & Development,Medical,497,Male,Laboratory Technician,Divorced,No,Y,2,Good,27,0.00%,1469,1,0,2,1,4,0,82,3,1,2,1,3816,17881,1,11,3,2,80,1,5,5,2,0,4
No,Travel_Rarely,Sales,Life Sciences,498,Male,Sales Executive,Single,No,Y,1,Good,28,0.00%,304,9,0,4,1,2,0,92,3,2,4,1,5253,20750,1,16,3,4,80,0,7,7,5,0,7
No,Travel_Rarely,Research & Development,Other,499,Male,Healthcare Representative,Single,No,Y,2,Good,49,0.00%,1261,7,0,3,1,2,0,31,2,3,3,1,10965,12066,8,24,4,3,80,0,26,5,2,0,0
No,Travel_Rarely,Sales,Life Sciences,500,Female,Sales Executive,Married,No,Y,2,Avg,51,0.00%,1178,14,0,2,1,3,1,87,3,2,4,0,4936,14862,4,11,3,3,80,1,18,7,7,0,7
No,Travel_Rarely,Research & Development,Life Sciences,501,Female,Research Scientist,Married,No,Y,3,Good,36,0.00%,329,2,0,3,1,4,1,96,3,1,3,0,2543,11868,4,13,3,2,80,1,6,2,2,2,2
Yes,Non-Travel,Sales,Marketing,502,Male,Sales Executive,Single,Yes,Y,3,Avg,34,100.00%,1362,19,0,3,1,1,0,67,4,2,4,1,5304,4652,8,13,3,2,80,0,9,5,2,0,4
No,Travel_Rarely,Research & Development,Life Sciences,505,Female,Manager,Single,Yes,Y,2,Good,55,0.00%,1311,2,0,3,1,3,1,97,3,4,4,0,16659,23258,2,13,3,3,80,0,30,5,4,1,2
No,Travel_Rarely,Sales,Marketing,507,Female,Sales Executive,Divorced,Yes,Y,2,Best,24,0.00%,1371,10,0,4,1,4,1,77,3,2,3,0,4260,5915,1,12,3,4,80,1,5,5,2,0,3
No,Travel_Rarely,Sales,Technical Degree,508,Male,Sales Representative,Married,No,Y,3,Good,30,0.00%,202,2,0,1,1,3,0,72,3,1,2,1,2476,17434,1,18,3,1,80,1,1,1,0,0,0
Yes,Travel_Frequently,Research & Development,Technical Degree,510,Male,Research Scientist,Single,No,Y,2,Good,26,100.00%,575,3,0,1,1,3,0,73,3,1,1,1,3102,6582,0,22,4,3,80,0,7,6,4,0,4
No,Travel_Rarely,Research & Development,Medical,511,Female,Research Scientist,Married,No,Y,1,Good,22,0.00%,253,11,0,3,1,1,1,43,3,1,2,0,2244,24440,1,13,3,4,80,1,2,2,1,1,2
No,Travel_Rarely,Sales,Medical,513,Male,Sales Executive,Married,No,Y,2,Good,36,0.00%,164,2,0,2,1,2,0,61,2,3,3,1,7596,3809,1,13,3,2,80,2,10,10,9,9,0
Yes,Travel_Frequently,Research & Development,Technical Degree,514,Male,Research Scientist,Single,Yes,Y,4,Good,30,100.00%,464,4,0,3,1,3,0,40,3,1,4,1,2285,3427,9,23,4,3,80,0,3,1,0,0,0
No,Travel_Rarely,Research & Development,Life Sciences,515,Female,Laboratory Technician,Divorced,No,Y,2,Avg,37,0.00%,1107,14,0,3,1,4,1,95,3,1,1,0,3034,26914,1,12,3,3,80,1,18,18,7,12,17
No,Travel_Rarely,Sales,Marketing,516,Female,Sales Executive,Divorced,No,Y,5,Good,40,0.00%,759,2,0,2,1,4,1,46,3,2,2,0,5715,22553,7,12,3,3,80,2,8,5,4,1,3
No,Travel_Rarely,Research & Development,Life Sciences,517,Female,Laboratory Technician,Divorced,No,Y,5,Good,42,0.00%,201,1,0,4,1,2,1,95,3,1,1,0,2576,20490,3,16,3,2,80,1,8,5,2,1,2
No,Travel_Rarely,Research & Development,Life Sciences,518,Male,Manufacturing Director,Single,Yes,Y,2,Avg,37,0.00%,1305,10,0,4,1,3,0,49,3,2,2,1,4197,21123,2,12,3,4,80,0,18,1,0,0,1
No,Travel_Rarely,Research & Development,Life Sciences,520,Male,Research Director,Divorced,No,Y,3,Good,43,0.00%,982,12,0,3,1,1,0,59,2,4,2,1,14336,4345,1,11,3,3,80,1,25,25,10,3,9
No,Travel_Rarely,Research & Development,Medical,521,Female,Laboratory Technician,Married,No,Y,3,Good,40,0.00%,555,2,0,3,1,2,1,78,2,2,3,0,3448,13436,6,22,4,2,80,1,20,1,0,0,0
No,Travel_Rarely,Research & Development,Medical,522,Male,Research Director,Married,No,Y,4,Avg,54,0.00%,821,5,0,2,1,1,0,86,3,5,1,1,19406,8509,4,11,3,3,80,1,24,4,2,1,2
No,Non-Travel,Sales,Marketing,523,Female,Sales Executive,Married,No,Y,3,Good,34,0.00%,1381,4,0,4,1,3,1,72,3,2,3,0,6538,12740,9,15,3,1,80,1,6,3,2,1,2
No,Travel_Rarely,Research & Development,Medical,524,Female,Manufacturing Director,Married,No,Y,5,Bad,31,0.00%,480,7,0,2,1,2,1,31,3,2,1,0,4306,4156,1,12,3,2,80,1,13,13,10,3,12
No,Travel_Frequently,Research & Development,Medical,525,Male,Laboratory Technician,Married,No,Y,1,Good,43,0.00%,313,21,0,3,1,4,0,61,3,1,4,1,2258,15238,7,20,4,1,80,1,8,3,2,1,2
